Geographic Area Name,novehicle,onevehicle,twovehicle,threevehicle,Median income (dollars),Average vehicle,percent_households_with_car
Census Tract 1906.01,84,227,511,266,58333,1.881433824,92
Census Tract 2229,84,152,74,31,-,1.152492669,75
Census Tract 4912,84,248,250,92,51875,1.519287834,88
Census Tract 7203,84,510,727,206,151125,1.690897184,94
Census Tract 8211.02,84,292,624,509,76820,2.032471836,94
Census Tract 202,85,964,770,204,101648,1.540286703,96
Census Tract 7001,85,272,345,330,76480,1.891472868,92
Census Tract 8047.15,85,568,358,161,45160,1.507679181,93
Census Tract 8054.02,85,276,798,465,105742,2.011699507,95
Census Tract 8210.02,85,684,502,518,72692,1.812185579,95
Census Tract 6117,86,535,92,85,23646,1.220551378,89
Census Tract 8123.02,86,376,416,135,175278,1.592300099,92
Census Tract 8169,86,509,745,456,79534,1.874721604,95
Census Tract 8241.07,86,844,1043,728,93892,1.893372825,97
Census Tract 1004,87,274,736,159,131786,1.769904459,93
Census Tract 8047.11,87,1287,1033,321,80139,1.582111437,97
Census Tract 8055.02,87,651,648,288,178281,1.67921147,95
Census Tract 8157.02,87,682,791,329,132148,1.721016411,95
Census Tract 8241.24,87,515,415,120,82083,1.499560246,92
Census Tract 8241.28,87,490,711,394,86689,1.839476813,95
Census Tract 8016.05,88,550,1053,408,170625,1.848499285,96
Census Tract 8026.09,88,1326,942,238,66583,1.512721665,97
Census Tract 8173,88,258,247,160,56615,1.636122178,88
Census Tract 8284.01,88,538,614,172,82910,1.616147309,94
Census Tract 8305,88,388,372,189,42033,1.638379942,92
Census Tract 5704,89,295,103,63,75156,1.254545455,84
Census Tract 6705,89,181,65,22,59028,1.056022409,75
Census Tract 8047.05,89,572,776,210,83644,1.672131148,95
Census Tract 5705,90,269,270,110,45607,1.541271989,88
Census Tract 1506,91,539,572,233,83545,1.659930314,94
Census Tract 2109,91,679,491,75,90750,1.411676647,93
Census Tract 7703,91,1053,1056,496,90174,1.725890208,97
Census Tract 8238.03,91,741,969,748,102258,1.931345626,96
Census Tract 8250,91,816,565,314,76157,1.617021277,95
Census Tract 8408,91,428,221,61,41208,1.314606742,89
Census Tract 8030.13,92,797,1112,341,137981,1.726729291,96
Census Tract 8227.02,92,540,513,214,77714,1.624724062,93
Census Tract 8262.02,92,828,824,252,40861,1.619238477,95
Census Tract 5602,93,220,207,39,71719,1.343470483,83
Census Tract 8115,93,599,823,418,86282,1.810139679,95
Census Tract 8117.02,93,703,592,488,65369,1.786247335,95
Census Tract 1707,94,241,492,279,79263,1.86437613,92
Census Tract 2227,94,480,207,31,71250,1.215517241,88
Census Tract 2429,94,495,160,34,156667,1.171136654,88
Census Tract 8134,94,513,688,463,51075,1.864618885,95
Census Tract 8214.01,94,642,441,242,48807,1.585623679,93
Census Tract 1907.01,95,280,333,74,75729,1.493606138,88
Census Tract 7003.01,95,545,730,449,67272,1.842770753,95
Census Tract 7401,95,578,387,126,113036,1.458684654,92
Census Tract 8083.02,95,698,563,337,107742,1.674542233,94
Census Tract 8097,95,447,520,108,122500,1.547863248,92
Census Tract 3815,96,152,19,4,20982,0.745387454,65
Census Tract 5611,96,809,865,314,99762,1.670345489,95
Census Tract 6718,96,229,31,22,43250,0.944444444,75
Census Tract 8122,96,352,650,156,236389,1.690590112,92
Census Tract 8237.05,96,515,643,305,69625,1.742142399,94
Census Tract 8246.02,96,692,1361,461,106136,1.837931034,96
Census Tract 2432,97,659,194,26,182019,1.152663934,90
Census Tract 6108,97,155,276,24,78333,1.411231884,82
Census Tract 8059.02,97,705,717,531,126000,1.820487805,95
Census Tract 8260,97,417,230,244,50135,1.62854251,90
Census Tract 1101,98,725,982,357,103322,1.739130435,95
Census Tract 1904.01,98,455,500,273,64574,1.714932127,93
