NAME,novehicle,onevehicle,twovehicle,threevehicle,medianincome
"Census Tract 2312, Cook County, Illinois",652,1075,134,90,36060
"Census Tract 2315, Cook County, Illinois",815,738,324,180,40250
"Census Tract 2402, Cook County, Illinois",183,350,169,93,200556
"Census Tract 2403, Cook County, Illinois",153,298,139,22,179583
"Census Tract 2405, Cook County, Illinois",136,936,204,0,225064
"Census Tract 2406, Cook County, Illinois",59,353,211,28,167500
"Census Tract 2407, Cook County, Illinois",137,293,240,31,99083
"Census Tract 2408, Cook County, Illinois",80,310,159,26,115278
"Census Tract 2409, Cook County, Illinois",112,333,88,9,84167
"Census Tract 2410, Cook County, Illinois",147,386,213,21,67083
"Census Tract 2411, Cook County, Illinois",357,636,365,67,92063
"Census Tract 2412, Cook County, Illinois",246,272,305,30,136950
"Census Tract 2413, Cook County, Illinois",122,437,182,28,169545
"Census Tract 2414, Cook County, Illinois",527,1343,621,28,179375
"Census Tract 2415, Cook County, Illinois",207,684,391,32,160430
"Census Tract 2416, Cook County, Illinois",383,883,270,49,99097
"Census Tract 2420, Cook County, Illinois",600,874,382,192,134633
"Census Tract 2421, Cook County, Illinois",219,1443,285,36,157069
"Census Tract 2422, Cook County, Illinois",244,1029,432,17,190000
"Census Tract 2423, Cook County, Illinois",153,1074,292,151,137795
"Census Tract 2424, Cook County, Illinois",357,654,379,49,140781
"Census Tract 2425, Cook County, Illinois",381,770,375,37,88194
"Census Tract 2426, Cook County, Illinois",690,1080,461,173,72269
"Census Tract 2427, Cook County, Illinois",191,391,166,11,80298
"Census Tract 2428, Cook County, Illinois",72,311,190,38,123382
"Census Tract 2429, Cook County, Illinois",94,495,160,34,156667
"Census Tract 2430, Cook County, Illinois",154,543,287,72,121634
"Census Tract 2431, Cook County, Illinois",130,457,273,37,143272
"Census Tract 2432, Cook County, Illinois",97,659,194,26,182019
"Census Tract 2433, Cook County, Illinois",343,568,257,46,154926
"Census Tract 2434, Cook County, Illinois",441,464,344,72,96620
"Census Tract 2435, Cook County, Illinois",359,1033,450,110,174079
"Census Tract 2502, Cook County, Illinois",176,322,219,113,62917
"Census Tract 2503, Cook County, Illinois",324,659,341,203,45402
"Census Tract 2504, Cook County, Illinois",461,639,626,249,47150
"Census Tract 2505, Cook County, Illinois",352,933,1038,352,128379
"Census Tract 2506, Cook County, Illinois",108,379,545,235,63723
"Census Tract 2507, Cook County, Illinois",448,1012,413,291,51213
"Census Tract 2508, Cook County, Illinois",172,310,163,111,51667
"Census Tract 2510, Cook County, Illinois",75,165,84,26,-
"Census Tract 2511, Cook County, Illinois",601,687,142,196,30024
"Census Tract 2512, Cook County, Illinois",198,284,493,242,63068
"Census Tract 2513, Cook County, Illinois",352,553,354,107,32538
"Census Tract 2514, Cook County, Illinois",1078,614,307,52,46350
"Census Tract 2515, Cook County, Illinois",640,426,224,56,71548
"Census Tract 2516, Cook County, Illinois",333,371,371,89,30625
"Census Tract 2517, Cook County, Illinois",56,175,89,68,58508
"Census Tract 2518, Cook County, Illinois",768,555,214,109,22407
"Census Tract 2519, Cook County, Illinois",1011,700,263,24,33819
"Census Tract 2520, Cook County, Illinois",1195,897,175,157,33077
"Census Tract 2521.01, Cook County, Illinois",223,194,164,41,57375
"Census Tract 2521.02, Cook County, Illinois",686,922,339,183,45086
"Census Tract 2522.01, Cook County, Illinois",246,555,145,38,41985
"Census Tract 2522.02, Cook County, Illinois",419,748,237,202,40313
"Census Tract 2601, Cook County, Illinois",319,172,26,9,31346
"Census Tract 2602, Cook County, Illinois",81,147,19,44,39485
"Census Tract 2603, Cook County, Illinois",170,290,47,40,-
"Census Tract 2604, Cook County, Illinois",151,201,26,74,52788
"Census Tract 2605, Cook County, Illinois",230,164,145,65,38179
"Census Tract 2606, Cook County, Illinois",149,213,159,12,32292
"Census Tract 2607, Cook County, Illinois",216,224,50,33,30069
"Census Tract 2608, Cook County, Illinois",353,188,154,51,34286
"Census Tract 2609, Cook County, Illinois",182,97,63,41,28000
"Census Tract 2610, Cook County, Illinois",375,350,116,27,39967
"Census Tract 2705, Cook County, Illinois",362,183,35,18,29469
"Census Tract 2712, Cook County, Illinois",144,149,36,39,40938
"Census Tract 2713, Cook County, Illinois",142,173,38,15,30000
"Census Tract 2714, Cook County, Illinois",248,171,36,31,27250
"Census Tract 2715, Cook County, Illinois",229,137,169,30,46455
"Census Tract 2718, Cook County, Illinois",138,65,5,0,38508
"Census Tract 2801, Cook County, Illinois",2044,2094,320,3,201020
"Census Tract 2804, Cook County, Illinois",142,241,148,0,38631
"Census Tract 2808, Cook County, Illinois",294,92,46,0,-
"Census Tract 2809, Cook County, Illinois",118,128,78,0,18553
"Census Tract 2819, Cook County, Illinois",1716,1854,199,0,138429
"Census Tract 2827, Cook County, Illinois",177,408,171,63,61509
"Census Tract 2828, Cook County, Illinois",108,262,177,28,74750
"Census Tract 2831, Cook County, Illinois",452,430,430,13,-
"Census Tract 2832, Cook County, Illinois",241,322,145,16,87813
"Census Tract 2838, Cook County, Illinois",254,905,450,17,108816
"Census Tract 2909, Cook County, Illinois",475,510,115,65,29821
"Census Tract 2912, Cook County, Illinois",314,274,71,69,28214
"Census Tract 2916, Cook County, Illinois",25,112,66,111,78750
"Census Tract 2922, Cook County, Illinois",379,265,275,23,47656
"Census Tract 2924, Cook County, Illinois",282,185,90,103,49426
"Census Tract 2925, Cook County, Illinois",531,583,245,109,51075
"Census Tract 3005, Cook County, Illinois",124,336,202,139,53571
"Census Tract 3006, Cook County, Illinois",173,421,171,51,43789
"Census Tract 3007, Cook County, Illinois",295,449,591,216,41508
"Census Tract 3008, Cook County, Illinois",296,413,278,94,27353
"Census Tract 3009, Cook County, Illinois",139,1156,283,44,33306
"Census Tract 301.01, Cook County, Illinois",853,697,357,49,57650
"Census Tract 301.02, Cook County, Illinois",862,841,114,5,61167
"Census Tract 301.03, Cook County, Illinois",469,325,161,5,100012
"Census Tract 301.04, Cook County, Illinois",427,558,23,0,75582
"Census Tract 3011, Cook County, Illinois",132,369,216,27,53107
"Census Tract 3012, Cook County, Illinois",403,594,199,156,33500
