NAMELSAD10,Median income (dollars),Average vehicle,number of bus stops,area(m2),density(/hectare),Nearest distance (km),percent_households_with_car
Census Tract 8321,65739,0.771256171,13,222084.7347,0.58536216,75.00151994,65
Census Tract 8322,195438,1.075167785,8,399384.3632,0.200308293,207.6375526,78
Census Tract 8323,164250,1.225366876,19,840150.291,0.226150014,157.370052,85
Census Tract 8324,176417,1.053686471,7,323051.7382,0.216683558,192.5200881,82
Census Tract 8325,247813,1.13800738,10,783012.9674,0.127711806,381.2519621,73
Census Tract 8326,249375,1.252684776,14,721625.1969,0.194006529,379.0706079,85
Census Tract 8329,165948,0.959722222,9,401289.4921,0.224276991,9.717154456,69
Census Tract 8330,172363,0.889587426,15,1312664.567,0.114271386,403.6749054,73
Census Tract 8331,159756,0.960569004,27,922172.6019,0.292786838,151.2821493,80
Census Tract 8333,170497,0.723240116,14,477828.0466,0.292992429,241.0627811,57
Census Tract 8339,36652,0.95291202,10,706312.5979,0.141580371,203.0226695,57
Census Tract 8340,50438,0.987387387,13,988762.6681,0.131477456,358.1458123,77
Census Tract 8342,64476,1.141403321,32,975448.4807,0.32805423,171.7760667,82
Census Tract 8343,73095,1.154202005,29,1909305.228,0.151887711,613.4585458,76
Census Tract 8344,87813,1.00372737,11,585569.0586,0.187851456,390.437576,68
Census Tract 8345,37388,0.900943396,17,464133.8337,0.366273664,120.5633034,63
Census Tract 8346,29154,0.669543773,36,1562236.363,0.230438881,112.7202115,50
Census Tract 8347,30804,0.569948187,19,657991.9373,0.288757338,13.62712484,45
Census Tract 8348,51691,0.592123769,12,600481.9271,0.199839487,54.46351548,45
Census Tract 8349,41579,0.494905386,14,652720.2018,0.214487003,194.9346911,39
Census Tract 8350,38537,1.101265823,20,1004078.049,0.199187703,181.6638187,68
Census Tract 8351,45591,1.447619048,21,1003889.39,0.209186393,182.1987346,73
Census Tract 8352,98362,1.492890995,22,988536.746,0.22255116,173.940712,84
Census Tract 8355,22308,0.617647059,22,914489.6128,0.240571349,62.07062717,43
Census Tract 8356,32237,0.441501104,22,917536.2376,0.239772546,12.0668174,32
Census Tract 8357,32237,0.441501104,5,190189.4472,0.262895764,108.1591313,
Census Tract 8358,70696,0.865522175,8,284424.3508,0.281269869,160.3734547,71
Census Tract 8359,70696,0.865522175,25,647443.3813,0.38613415,19.95986527,
Census Tract 8360,113558,1.302504817,12,505740.3478,0.237275908,296.5774103,83
Census Tract 8361,24479,0.655440415,25,860471.7042,0.290538316,237.5766817,52
Census Tract 8362,250000,1.036697248,19,813725.1883,0.233494063,94.07196987,75
Census Tract 8363,112708,0.930340557,6,137520.139,0.436299733,93.57019417,73
Census Tract 8364,46332,0.901805869,14,1666110.346,0.084028048,485.994895,64
Census Tract 8365,49464,1.048257373,4,940474.7801,0.042531709,504.5246276,72
Census Tract 8366,66806,1.068476978,25,634176.5819,0.39421197,41.46243647,77
Census Tract 8367,62982,0.911623439,29,1227837.394,0.236187627,25.17104526,70
Census Tract 8368,19766,0.548705302,12,816016.0256,0.147055935,227.0802707,43
Census Tract 8369,25556,0.757918552,6,164714.8404,0.364265902,75.98809285,64
Census Tract 8370,39806,0.57486631,16,412544.9248,0.387836549,96.26792216,45
Census Tract 8371,38092,0.646884273,12,745298.0277,0.161009416,89.47835704,47
Census Tract 8373,30319,0.872946331,9,368499.1558,0.244233938,26.48674292,61
Census Tract 8374,34491,0.795252226,19,591450.0945,0.321244348,157.2535126,63
Census Tract 8378,54539,0.780795344,15,1005500.659,0.149179415,189.0630109,57
Census Tract 8380,41222,0.752156863,18,537837.1592,0.334673789,55.2620198,58
Census Tract 8381,160478,0.689134809,32,822114.0896,0.389240379,141.3048448,42
Census Tract 8382,178250,1.199494949,53,1157564.139,0.457857999,118.103273,73
Census Tract 8383,154091,0.944933921,9,348133.5275,0.258521495,102.978011,71
Census Tract 8386,23145,0.713385827,8,246252.6274,0.32486963,143.32167,57
Census Tract 8387,30901,0.75462963,15,658084.9259,0.227934107,396.6778386,50
Census Tract 8388,37104,1.13466788,21,21640424.44,0.009704061,1478.340269,75
Census Tract 8390,128920,0.601169383,14,516456.1272,0.271078205,122.1509761,50
Census Tract 8391,154306,0.549356223,63,1186062.867,0.531169146,87.98436583,49
Census Tract 8392,59167,0.851769912,19,650885.3748,0.291910077,101.0186023,69
Census Tract 8395,112750,1.017333333,8,262519.665,0.304739075,176.3422058,63
Census Tract 8396,59792,0.761797753,13,326898.4116,0.397677062,172.1283225,56
Census Tract 8397,97315,1.283680175,10,648638.1602,0.15416916,274.4512445,82
Census Tract 8398,79792,1.108267717,9,266174.0369,0.338124639,158.4490805,79
Census Tract 8399,92625,1.381585426,26,1179548.248,0.22042337,218.2150362,90
Census Tract 8400,107578,1.419087137,9,591627.4807,0.152122751,40.84621195,90
Census Tract 8401,57924,1.024956971,9,335805.5313,0.268012262,185.9495017,75
Census Tract 8402,63854,1.382314694,15,831093.654,0.180485074,132.734794,86
Census Tract 8403,70093,1.491452991,21,831225.1035,0.252639146,197.827081,86
Census Tract 8404,62452,1.54318789,25,982644.2346,0.254415577,164.3361993,85
Census Tract 8407,75139,1.340155945,11,541527.195,0.203129226,130.227611,82
Census Tract 8408,41208,1.314606742,8,328680.9629,0.243397121,196.4906657,89
Census Tract 8410,117222,1.01458671,26,1353146.74,0.192144719,88.18219781,77
Census Tract 8411,60636,0.877361854,32,1143245.245,0.279904947,182.8020095,58
Census Tract 8412,55493,1.0925,15,625405.8283,0.239844263,211.5075362,69
Census Tract 8413,51912,1.1359447,20,1410350.207,0.14180875,188.7898044,82
Census Tract 8414,51912,1.1359447,10,238636.9232,0.419046636,109.8490234,
Census Tract 8415,31932,0.854271357,17,432306.3862,0.393239622,194.7895736,65
Census Tract 8416,31932,0.854271357,5,159366.7208,0.313741788,170.4888343,
Census Tract 8417,22115,0.650238474,7,266796.8311,0.262371932,139.9075232,49
Census Tract 8418,43482,0.903508772,39,1643117.341,0.237353712,89.20423038,71
Census Tract 8419,125625,1.022332506,46,2564977.51,0.179338804,72.95054412,78
Census Tract 8420,174271,1.307246377,21,589975.993,0.355946687,104.8506754,84
Census Tract 8421,39360,1.356283101,26,2034640.427,0.127786707,13.84306632,88
Census Tract 8422,143580,0.828828829,24,1565695.37,0.153286523,180.1193307,71
Census Tract 8423,180302,1.250840619,35,1872231.863,0.186942658,156.5846044,88
Census Tract 8424,52760,0.868945869,38,1968638.234,0.193026831,189.2213557,67
Census Tract 8425,20041,0.341801386,25,1075342.404,0.23248409,163.6159164,32
Census Tract 8426,79444,1.349799733,55,3679424.321,0.149479906,489.3056318,85
Census Tract 8428,33828,1.428787116,30,1516561.723,0.197815885,92.97993244,88
Census Tract 8429,26600,0.567629179,34,2208286.361,0.153965539,260.4268311,45
Census Tract 8430,30167,0.705450734,25,1065156.721,0.234707245,183.4381975,50
Census Tract 8431,41053,0.884700665,24,1012677.924,0.23699539,163.7986546,62
Census Tract 8432,48333,1.065101387,46,3162059.991,0.145474786,204.3766959,76
Census Tract 8433,60417,1.025714286,14,584251.0369,0.239623024,192.9984141,72
Census Tract 8434,34439,0.613986014,12,656155.3272,0.182883526,219.7359532,48
Census Tract 8435,27216,1.349344978,27,2032655.019,0.132831197,154.9177941,91
Census Tract 8436,72391,1.061778683,12,410893.1216,0.292046748,229.8392051,73
Census Tract 8437,202250,1.238624874,22,1263069.507,0.174178855,206.3184465,82
Census Tract 8438,49750,0.9543379,19,1309513.884,0.145092009,88.09107852,65
Census Tract 8439,82679,0.94282898,34,2211632.373,0.153732602,341.8526371,80
Census Tract 901,56932,0.862928349,0,933126.9716,0,1228.155989,89
Census Tract 902,56932,0.862928349,16,1552548.698,0.103056349,393.3650062,93
Census Tract 903,56932,0.862928349,1,496118.6065,0.02015647,256.7418922,97
