NAMELSAD10,Median income (dollars),Average vehicle,number of bus stops,area(m2),density(/hectare),Nearest distance (km),percent_households_with_car
Census Tract 2507,51213,1.252772643,18,662596.5468,0.271658524,398.0966339,79
Census Tract 2508,51667,1.281746032,14,573867.2047,0.243958879,364.4712706,77
Census Tract 2511,30024,0.958794588,11,496451.6209,0.221572446,298.6341362,63
Census Tract 2512,63068,1.640098603,16,662289.654,0.241586138,399.6876006,84
Census Tract 2513,32538,1.158125915,18,653465.8448,0.275454335,397.5356644,74
Census Tract 2514,46350,0.674792784,11,680674.1533,0.161604491,414.0586704,47
Census Tract 2515,71548,0.774145617,11,682474.5991,0.16117816,414.9009234,52
Census Tract 2516,30625,1.18556701,7,480785.7486,0.145594998,298.3613513,71
Census Tract 2517,58508,1.43556701,10,486655.9381,0.205483982,96.58794373,86
Census Tract 2518,22407,0.795868773,16,997742.3963,0.160362034,197.7474785,53
Census Tract 2519,33819,0.64964965,15,633901.5759,0.236629795,378.7562822,49
Census Tract 2520,33077,0.708745875,15,636147.5833,0.235794341,381.1588516,51
Census Tract 2521.01,57375,1.036977492,20,850097.5751,0.23526711,227.3105386,64
Census Tract 2521.02,45086,1.008920188,29,668485.6282,0.433816357,12.73364574,68
Census Tract 2522.01,41985,0.974593496,14,386788.2459,0.361955156,41.48403405,75
Census Tract 2522.02,40313,1.138231631,27,637446.8887,0.4235647,20.54516604,74
Census Tract 2601,31346,0.477186312,6,324422.8359,0.184943824,199.2500376,39
Census Tract 2602,39485,1.089347079,6,328335.0521,0.18274016,221.2553732,72
Census Tract 2604,52788,1.050884956,2,328224.9332,0.060933823,391.5236989,67
Census Tract 2605,38179,1.074503311,10,337546.0625,0.296255863,26.38426682,62
Census Tract 2606,32292,1.063789869,8,318886.7409,0.25087277,19.93490114,72
Census Tract 2607,30069,0.808795411,14,329143.4699,0.42534643,16.55019959,59
Census Tract 2608,34286,0.86997319,11,328946.7325,0.334400646,11.92354107,53
Census Tract 2609,28000,0.903394256,4,228196.4955,0.17528753,266.3426961,52
Census Tract 2610,39967,0.763824885,7,499034.8223,0.140270772,75.24739023,57
Census Tract 2705,29469,0.513377926,12,562047.9907,0.2135049,189.3287881,39
Census Tract 2712,40938,0.918478261,11,329808.5231,0.333526857,19.13306663,61
Census Tract 2713,30000,0.798913043,21,327412.2356,0.641393257,16.71280292,61
Census Tract 2714,27250,0.691358025,10,328374.3246,0.304530508,10.17776492,49
Census Tract 2715,46455,1,4,162820.1036,0.245669909,195.4313829,59
Census Tract 2718,38508,0.360576923,4,205983.6543,0.194190166,246.9420879,34
Census Tract 2801,201020,0.614884555,21,592603.2814,0.354368608,36.3582119,54
Census Tract 2804,38631,1.011299435,5,502202.1815,0.099561495,505.1172918,73
Census Tract 2809,18553,0.87654321,7,115080.4658,0.608270044,116.8918525,64
Census Tract 2819,138429,0.59750597,19,438803.0846,0.432996045,133.0787481,54
Census Tract 2827,61509,1.146520147,11,439299.5524,0.250398616,202.2973325,78
Census Tract 2828,74750,1.217391304,6,164410.1535,0.364940965,132.216275,81
Census Tract 2832,87813,0.91160221,8,235930.9541,0.339082255,15.23049238,67
Census Tract 2838,108816,1.141451415,4,376019.1294,0.106377567,230.6930265,84
Census Tract 2909,29821,0.802575107,15,996493.8927,0.150527767,398.6517109,59
Census Tract 2912,28214,0.855769231,12,329139.5845,0.364586958,32.68168836,57
Census Tract 2916,78750,1.837579618,3,220340.3346,0.136153011,277.9590126,92
Census Tract 2922,47656,0.938428875,12,398012.7098,0.30149791,75.03903533,60
Census Tract 2924,49426,1.021212121,10,330647.0984,0.302437253,196.2795151,57
Census Tract 2925,51075,0.953678474,16,982570.5902,0.162838173,386.928297,64
Census Tract 3005,53571,1.444444444,6,271032.0139,0.221376062,233.7379608,85
Census Tract 3006,43789,1.12254902,10,328180.8017,0.304710085,208.3611189,79
Census Tract 3007,41508,1.469374597,9,329126.758,0.273450875,197.0206095,81
Census Tract 3008,27353,1.157261795,9,325846.6746,0.276203525,196.5505671,73
Census Tract 3009,33306,1.143033292,6,327300.0441,0.183318032,197.4295889,91
Census Tract 301.01,33306,1.143033292,3,238051.7245,0.126023032,122.959025,56
Census Tract 301.02,33306,1.143033292,4,200459.8288,0.199541226,99.15898001,53
Census Tract 301.03,33306,1.143033292,3,187915.5514,0.15964618,91.65085945,51
Census Tract 301.04,33306,1.143033292,4,181021.9543,0.220967673,76.98605348,58
Census Tract 3011,53107,1.185483871,6,212133.2381,0.282841107,258.6281708,82
Census Tract 3012,33500,1.079881657,8,482202.9021,0.165905264,394.9892674,70
Census Tract 3016,26698,1.005772006,3,329515.9934,0.091042622,397.2784088,74
Census Tract 3017.01,46601,1.358139535,9,330772.9799,0.272089939,197.4771167,74
Census Tract 3017.02,42552,1.150246305,10,330991.0475,0.302122975,198.971869,84
Census Tract 3018.01,41993,1.368997473,7,694637.742,0.10077195,270.2507171,79
Census Tract 3018.02,41724,1.405063291,10,345010.4672,0.289846279,127.585301,84
Census Tract 3018.03,47879,1.273984443,7,351051.7117,0.199400822,302.0274152,81
Census Tract 302,47879,1.273984443,14,666196.4905,0.21014821,403.5924796,78
