id,name,novehicle,onevehicle,twovehicle,threevehicle,medianincome,houseunits,average_vehicles
"107",Census Tract 633.03,"388","397","23","26","159792","834","0.6247002398081535"
"108",Census Tract 634,"414","626","147","39","191288","1226","0.8458401305057096"
"109",Census Tract 701.01,"876","1254","137","0","127563","2267","0.6740185266872519"
"110",Census Tract 701.02,"1023","817","179","95","219214","2114","0.6906338694418165"
"111",Census Tract 701.03,"655","473","7","0","70469","1135","0.4290748898678414"
"112",Census Tract 702,"713","995","321","54","184375","2083","0.8636581853096496"
"113",Census Tract 703,"344","914","306","32","249167","1596","1.0162907268170427"
"115",Census Tract 705,"355","512","282","113","248750","1262","1.1212361331220284"
"117",Census Tract 707,"278","740","613","46","212381","1677","1.2546213476446035"
"120",Census Tract 712,"368","402","117","0","130833","887","0.7170236753100339"
"121",Census Tract 713,"549","1247","388","0","158750","2184","0.9262820512820513"
"122",Census Tract 714,"983","1587","262","15","214784","2847","0.7572883737267299"
"123",Census Tract 715,"1656","1757","297","95","193646","3805","0.6927726675427069"
"124",Census Tract 716,"154","371","167","53","220357","745","1.159731543624161"
"125",Census Tract 717,"101","396","126","33","238036","656","1.138719512195122"
"126",Census Tract 718,"152","482","392","23","216250","1049","1.2726406101048617"
"127",Census Tract 801,"1531","2225","209","174","201438","4139","0.7646774583232665"
"128",Census Tract 802.01,"713","1323","112","19","166719","2167","0.7401938163359483"
"129",Census Tract 802.02,"987","1149","157","0","247411","2293","0.6380287832533799"
"130",Census Tract 803,"1018","1396","423","0","199869","2837","0.7902714134649277"
"132",Census Tract 810,"3079","1655","148","0","144669","4882","0.39963129864809505"
"133",Census Tract 811,"1868","857","184","31","144877","2940","0.44829931972789117"
"136",Census Tract 813,"1790","1345","269","157","225714","3561","0.6610502667789947"
"137",Census Tract 814.01,"687","554","30","9","227216","1280","0.50078125"
"138",Census Tract 814.02,"1045","1682","415","31","231591","3173","0.8209895997478727"
"139",Census Tract 814.03,"3257","2112","648","40","186310","6057","0.5824665676077266"
"141",Census Tract 816,"1427","1008","123","0","159750","2558","0.490226739640344"
"142",Census Tract 817,"1852","1009","94","34","167813","2989","0.4345935095349615"
"144",Census Tract 819,"101","363","87","0","166000","551","0.9745916515426497"
